Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,3,18.7,0.1378902,1.155261,2.171515,39.53878
,,3,18.92222,0.1398187,1.154735,2.170077,36.98933
,,3,19.14445,0.1431912,1.157675,2.17104,28.70683
,,3,19.36667,0.1407945,1.165929,2.175946,359.134
,,3,19.58889,0.13012,1.172356,2.158638,315.9177
,,3,19.81111,0.1263545,1.171897,2.117728,272.0839
,,3,20.03333,0.1429251,1.164668,2.078454,239.395
,,3,20.25556,0.1740212,1.15973,2.043953,212.8061
,,3,20.47778,0.2105972,1.152963,2.028108,191.4557
,,3,20.7,0.2417111,1.147271,2.02235,175.1663
,,3,20.92222,0.2521296,1.143877,2.022017,169.1758
,,3,21.14445,0.2367469,1.145895,2.023617,171.1642
,,3,21.36667,0.2160741,1.161712,2.028431,176.9627
,,3,21.58889,0.2060962,1.175703,2.037637,180.323
,,3,21.81111,0.2010136,1.176381,2.037416,182.1003
,,3,22.03333,0.2002909,1.174965,2.037859,181.8251
,,3,22.25556,0.1991167,1.171682,2.027002,184.0601
,,3,22.47778,0.1879251,1.165417,2.018155,187.4608
,,3,22.7,0.1524777,1.155206,1.969179,189.9949
,,3,22.92222,0.1264994,1.14129,1.920007,190.5459
,,3,23.14445,0.1115212,1.100179,1.883075,191.1857
,,3,23.36667,0.102021,1.094282,1.842955,197.6346
,,3,23.58889,0.1428554,1.15011,1.818444,201.4092
,,3,23.81111,0.1823258,1.178844,1.85412,230.4507
,,3,24.03333,0.1741357,1.171761,1.924722,203.9054
,,3,24.25556,0.1922004,1.159355,1.991207,189.933
,,3,24.47778,0.2022896,1.161854,2.014788,182.1222
,,3,24.7,0.2105877,1.167775,2.027818,181.8429
,,3,24.92222,0.2114329,1.168392,2.031296,181.3394
,,3,25.14445,0.2126315,1.168131,2.032814,180.2085
,,3,25.36667,0.2123117,1.170165,2.035747,179.7934
,,3,25.58889,0.2071512,1.177942,2.04131,183.8041
,,3,25.81111,0.2025445,1.181214,2.044987,185.7541
,,3,26.03333,0.1996816,1.182204,2.046777,185.9699
,,3,26.25556,0.1944737,1.183969,2.049652,189.1281
,,3,26.47778,0.1812471,1.186528,2.053914,196.9934
,,3,26.7,0.1806557,1.183483,2.053682,195.8539
,,3,26.92222,0.1947925,1.181287,2.057151,193.2255
,,3,27.14445,0.224984,1.182213,1.990569,190.9354
,,3,27.36667,0.2366428,1.182898,1.872953,189.0448
,,3,27.58889,0.2106377,1.183721,1.748088,187.8855
,,3,27.81111,0.1448932,1.186315,1.631864,192.1755
,,3,28.03333,0.01333153,1.183102,1.560682,218.6259
,,3,28.25556,-0.1507874,1.179717,1.525802,238.8546
,,3,28.47778,-0.2869309,1.182208,1.496992,244.6407
,,3,28.7,-0.3935522,1.18729,1.477871,257.598
,,3,28.92222,-0.4461443,1.188655,1.436592,249.6529
,,3,29.14445,-0.4421974,1.194038,1.349782,226.0154
,,3,29.36667,-0.4288015,1.196566,1.228909,212.2476
,,3,29.58889,-0.3904352,1.194816,1.084505,190.4267
,,3,29.81111,-0.3097811,1.196906,0.9374542,173.8953
,,3,30.03333,-0.1896695,1.198179,0.8084702,164.1537
,,3,30.25556,-0.04555535,1.20041,0.7035203,157.6719
,,3,30.47778,0.1180617,1.198432,0.6261063,155.3561
,,3,30.7,0.3118048,1.195293,0.5682616,153.0123
,,3,30.92222,0.5003213,1.193876,0.5215007,152.2822
,,3,31.14445,0.68532,1.189433,0.476804,147.8557
,,3,31.36667,0.8544942,1.183775,0.4471161,135.755
,,3,31.58889,1.002193,1.179722,0.4136677,128.3498
,,3,31.81111,1.128477,1.18272,0.3532847,130.3375
,,3,32.03333,1.237043,1.186123,0.2461907,133.2094
,,3,32.25556,1.317237,1.185594,0.1050908,133.2743
,,3,32.47778,1.348589,1.192224,-0.02009618,150.8201
,,3,32.7,1.379852,1.194069,-0.1528362,170.5135
,,3,32.92222,1.426649,1.191127,-0.27589,178.6531
,,3,33.14444,1.475328,1.191256,-0.384626,187.5862
,,3,33.36667,1.542813,1.193647,-0.4991066,218.7149
,,3,33.58889,1.572217,1.186839,-0.6197295,255.2979
,,3,33.81111,1.537377,1.157121,-0.7342182,283.376
,,3,34.03333,1.465885,1.157578,-0.7730405,293.5794
,,3,34.25556,1.372065,1.158768,-0.7840521,294.8065
,,3,34.47778,1.273266,1.166372,-0.805485,286.6383
,,3,34.7,1.170704,1.170742,-0.8399426,276.4799
,,3,34.92222,1.049923,1.175135,-0.9001456,268.1909
,,3,35.14444,0.944115,1.176799,-0.9668815,263.9
,,3,35.36667,0.8515208,1.181119,-1.042606,259.4971
,,3,35.58889,0.7907721,1.190808,-1.119306,253.1095
,,3,35.81111,0.7320716,1.20743,-1.186863,247.2372
,,3,36.03333,0.6722192,1.21963,-1.242798,243.9643
,,3,36.25556,0.6061435,1.225735,-1.287806,242.3885
,,3,36.47778,0.5427511,1.226253,-1.321379,239.7039
,,3,36.7,0.4798936,1.224426,-1.366901,233.1966
,,3,36.92222,0.4289868,1.222904,-1.436837,226.9188
,,3,37.14444,0.3887888,1.22086,-1.562626,222.7996
,,3,37.36667,0.3774999,1.218484,-1.714684,220.5685
,,3,37.58889,0.3916607,1.215944,-1.878163,218.9225
,,3,37.81111,0.4287299,1.21243,-2.038877,216.4624
,,3,38.03333,0.5137563,1.202255,-2.217472,203.1474
,,3,38.25556,0.6303532,1.194021,-2.392459,194.8895
,,3,38.47778,0.7449391,1.194151,-2.553009,194.7699
,,3,38.7,0.7648914,1.193706,-2.583234,212.3288
,,3,38.92222,0.7469907,1.185203,-2.53048,253.9883
,,3,39.14444,0.7599508,1.179114,-2.476697,280.8671
,,3,39.36667,0.8078222,1.178112,-2.362288,296.4401
,,3,39.58889,0.8381646,1.179549,-2.229556,301.3246
,,3,39.81111,0.7895791,1.179611,-2.094671,297.1834
,,3,40.03333,0.6973042,1.182141,-1.967507,295.8274
,,3,40.25556,0.5846752,1.187739,-1.870026,290.2837
,,3,40.47778,0.4524668,1.194575,-1.806886,276.4253
,,3,40.7,0.323244,1.19724,-1.771791,266.4593
,,3,40.92222,0.1886004,1.197098,-1.760868,256.472
,,3,41.14445,0.06562054,1.190275,-1.782219,254.9936
,,3,41.36667,-0.05907643,1.190031,-1.833026,255.5411
,,3,41.58889,-0.1811634,1.192466,-1.898403,258.6602
,,3,41.81111,-0.2707798,1.198942,-1.964206,267.6393
,,3,42.03333,-0.3499391,1.2011,-2.050414,275.9036
,,3,42.25556,-0.4245467,1.198767,-2.147062,281.6231
,,3,42.47778,-0.4851208,1.187755,-2.245457,303.2477
,,3,42.7,-0.5918673,1.185276,-2.376509,294.8097
,,3,42.92222,-0.6908548,1.18219,-2.50166,267.6693
,,3,43.14445,-0.6783661,1.190458,-2.476138,264.4782
,,3,43.36667,-0.685427,1.195251,-2.443581,262.1364
,,3,43.58889,-0.6999776,1.196371,-2.421422,259.5407
,,3,43.81111,-0.707966,1.197231,-2.411916,254.7565
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,19.1,0.1428789,1.119266,1.998714,23.5849
,,1,19.32222,0.1526104,1.124115,2.000131,23.57422
,,1,19.54445,0.1744645,1.130842,2.004824,22.86025
,,1,19.76667,0.1849642,1.134085,2.00321,20.95369
,,1,19.98889,0.1792434,1.134885,2.003599,15.64846
,,1,20.21111,0.1551914,1.138701,2.013753,348.8368
,,1,20.43333,0.1059177,1.14144,2.00954,296.5852
,,1,20.65556,0.09494472,1.139899,1.992668,254.0049
,,1,20.87778,0.09585166,1.130611,1.978412,212.1607
,,1,21.1,0.1046493,1.120136,1.971027,192.2959
,,1,21.32222,0.1150626,1.123045,1.967473,186.4023
,,1,21.54445,0.119559,1.120946,1.959361,184.5418
,,1,21.76667,0.1228807,1.119664,1.959044,182.5404
,,1,21.98889,0.1272576,1.118247,1.961934,179.3434
,,1,22.21111,0.129601,1.117378,1.963085,176.2055
,,1,22.43333,0.1433408,1.141735,1.945898,168.6903
,,1,22.65556,0.1677909,1.18439,1.938544,156.2495
,,1,22.87778,0.1692625,1.175817,1.933462,156.0569
,,1,23.1,0.1571598,1.16852,1.917489,161.0423
,,1,23.32222,0.1457542,1.15606,1.884806,168.2879
,,1,23.54445,0.1353152,1.134353,1.827395,170.2609
,,1,23.76667,0.1358255,1.120032,1.780154,168.8239
,,1,23.98889,0.1333637,1.122454,1.768908,169.7982
,,1,24.21111,0.1424499,1.121451,1.773617,170.6
,,1,24.43333,0.1504831,1.121614,1.773933,170.1444
,,1,24.65556,0.1520736,1.120547,1.77578,171.588
,,1,24.87778,0.1479725,1.119081,1.774858,172.1238
,,1,25.1,0.1454792,1.118446,1.776522,172.5221
,,1,25.32222,0.1457385,1.117768,1.777381,172.8709
,,1,25.54445,0.1525905,1.121074,1.77858,172.7707
,,1,25.76667,0.1567775,1.121906,1.779449,173.173
,,1,25.98889,0.159622,1.122481,1.779935,173.3918
,,1,26.21111,0.1593584,1.122069,1.78183,173.8007
,,1,26.43333,0.1591666,1.121612,1.781812,173.8284
,,1,26.65556,0.1583217,1.121128,1.782474,173.9604
,,1,26.87778,0.1569104,1.119877,1.783179,174.7061
,,1,27.1,0.1595485,1.120565,1.782457,174.5931
,,1,27.32222,0.1647437,1.121717,1.782314,174.0058
